name,existingPrerequisite,existingBenefit,sourcebook,note
Forceful Saber Throw,"Trained in Use the Force, Saber Throw",You gain a +2 bonus on Use the Force checks made to activate Saber Throw.,The Force Unleashed Campaign Guide,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Noble Fencing Style,"Weapon Finesse, Noble level 1","When wielding a weapon with Weapon Finesse, you may use your Charisma modifier instead of Strength for attack rolls.",Saga Edition Core Rulebook,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Greater Weapon Specialization,"Weapon Specialization with selected weapon group, base attack bonus +12",You gain a +2 bonus on damage rolls with the selected weapon group. This stacks with Weapon Specialization.,Saga Edition Core Rulebook,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Reactive Stealth,Trained in Stealth,"Once per encounter, you may reroll a Stealth check and take the better result.",Galaxy at War,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Mobile Fighting,"Dex 13, Dodge","You may move up to your speed when using the withdraw action, and you gain a +2 bonus to Reflex Defense against attacks of opportunity provoked by movement.",Galaxy at War,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Elusive Target,"Dex 13, Dodge","When fighting defensively or using the total defense action, you may redirect missed melee attacks to another target adjacent to you.",Saga Edition Core Rulebook,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Reckless Charge,Str 13,"When you charge, you gain a +2 bonus on melee attack rolls but take a -2 penalty to Reflex Defense until the start of your next turn.",Galaxy at War,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Heavy Weapon Proficiency,,You are proficient with heavy weapons and do not take the -5 penalty when using them.,Saga Edition Core Rulebook,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Veteran Spacer,Duros,Gain a bonus to Use Computer checks made to Astrogate.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Force Focus,Trained in Use the Force,You gain a +2 bonus on Use the Force checks made to activate a specific Force power you select when taking this feat.,Saga Edition Core Rulebook,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Forceful Grip,"Trained in Use the Force, Force Grip",You gain a +2 bonus on Use the Force checks made to activate Force Grip.,The Force Unleashed Campaign Guide,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Keen Scent,Ewok,Increase the range of your Scent ability by 20 squares.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Grappling Strike,Base attack bonus +6,"When you hit with a melee attack, you may initiate a grapple as a free action without provoking an attack of opportunity.",Galaxy at War,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Resurgent Vitality,Wookiee,Gain additional Hit Points when catching a Second Wind.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Delay Damage,Con 13,"Once per encounter, you may delay the effects of damage taken until the end of your next turn.",Galaxy at War,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Headstrong,,You gain a +2 bonus on Will Defense against fear effects and may reroll a failed Will Defense check once per encounter.,Galaxy at War,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Aquatic Specialists,Trained in Swim,Gain bonuses on Swim checks when near allies.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Improved Grapple,"Int 13, Grapple",You gain a +5 bonus on grapple checks and do not provoke attacks of opportunity when initiating a grapple.,Saga Edition Core Rulebook,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Perfect Intuition,Cerean,"Reroll Initiative checks, always keeping the better result.",Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Educated,,Choose two Knowledge skills. You gain a +5 bonus on checks with those skills.,Saga Edition Core Rulebook,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Keen Force Mind,Trained in Use the Force,You gain a +2 bonus on Use the Force checks made to activate mind-affecting Force powers.,Jedi Academy Training Manual,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Forceful Slam,"Trained in Use the Force, Force Slam",You gain a +2 bonus on Use the Force checks made to activate Force Slam.,The Force Unleashed Campaign Guide,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Tae-Jitsu Training,"Dodge, Martial Arts I, Trained in Initiative",Deal more damage on critical hits. Use Dodge against enemies.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Trustworthy,,You gain a +2 bonus on Persuasion checks and may reroll a failed Persuasion check once per encounter.,Saga Edition Core Rulebook,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Hijkata Training,"Combat Reflexes, Martial Arts I",Make counterattacks. Impose penalties to enemy attacks.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Redirect Shot,"Trained in Use the Force, Deflect","When you successfully negate a ranged attack with Deflect, you may redirect the shot to another target within line of sight.",Saga Edition Core Rulebook,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Perfect Swimmer,Gungan,"Reroll Swim checks, always keeping the better result.",Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Unhindered Approach,Trained in Jump,Gain bonuses on Jump checks checks when near allies.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Nimble Team,Trained in Acrobatics,Gain bonuses on Acrobatics checks when near allies.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Covert Operatives,Trained in Stealth,Gain bonuses on Stealth checks when near allies.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Greater Weapon Focus,"Weapon Focus with selected weapon group, base attack bonus +8",You gain a +1 bonus on attack rolls with the selected weapon group. This stacks with Weapon Focus.,Saga Edition Core Rulebook,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Weapon Proficiency (Rifles),,You are proficient with rifles and do not take the -5 penalty when using them.,Saga Edition Core Rulebook,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Frightening Presence,"Charisma 15, Frightful Presence","When you use Frightful Presence, targets that fail their Will Defense check move -2 steps down the condition track instead of -1.",Galaxy of Intrigue,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Slicer Team,Trained in Use Computer,Gain bonuses on Use Computer checks when near allies.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Weapon Specialization,"Soldier level 4, Weapon Focus with selected weapon group",You gain a +2 bonus on damage rolls with the selected weapon group.,Saga Edition Core Rulebook,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Weapon Proficiency (Heavy Weapons),,You are proficient with heavy weapons and do not take the -5 penalty when using them.,Saga Edition Core Rulebook,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Stava Training,"Martial Arts I, Running Attack",Grab and Grapple as a larger creature. Grab after Charging.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Intimidating Presence,Trained in Persuasion,You may use Persuasion to intimidate as a swift action instead of a standard action.,Galaxy of Intrigue,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Forceful Telekinesis,"Trained in Use the Force, Move Object",You may spend a Force Point to move a target -1 step down the condition track when using Move Object.,The Force Unleashed Campaign Guide,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Heroic Surge,,"Once per encounter, you may take an additional standard or move action on your turn.",Saga Edition Core Rulebook,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Flawless Pilot,Duros,"Reroll Pilot checks, always keeping the better result.",Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Two-Weapon Fighting,Dex 13,You reduce the penalty for fighting with two weapons by 2.,Saga Edition Core Rulebook,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Survivor of Ryloth,Twi'lek,Make Survival checks to resist Extreme Heat and Extreme Cold.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Improved Knock Prone,"Int 13, Knock Prone",You gain a +5 bonus on attack rolls made to knock an opponent prone.,Saga Edition Core Rulebook,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Disarming Charm,Sullustan,Gain a bonus to Skill Checks on targets whose Attitude you have improved.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Fast Talk,Trained in Persuasion,You may make a Persuasion check to feint in combat as a swift action instead of a standard action.,Saga Edition Core Rulebook,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Mind of Reason,Cerean,Use Wisdom instead of Intelligence for Intelligence-based Skill Checks.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Great Fortitude,,You gain a +2 bonus to your Fortitude Defense.,Saga Edition Core Rulebook,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Inborn Resilience,Zabrak,Reduce one Defense bonus but increase another.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Devastating Bellow,Ithorian,Deal more damage with your Bellow attacks.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Logic Upgrade: Tactician,"Droid, Base Attack Bonus +4",Grant a +5 bonus to attack with a successful Aid Another attempt.,Knights of the Old Republic Campaign Guide,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Warrior Heritage,Gungan,Gain a bonus to Will Defense when using an Atlatl or Cesta.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Lasting Influence,Bothan,"After a successful Persuasion check, gain a bonus to future Persuasion checks.",Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Intuitive Initiative,Trained in Use the Force,You may reroll your Initiative check and take the better result. You must keep the new result even if it is worse.,Jedi Academy Training Manual,No matching entry in swse_feats.json; left existing description/rules text unchanged.
K'thri Training,"Dual Weapon Mastery I, Martial Arts I",Make swift Unarmed attacks. Deal half damage on misses.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Teräs Käsi Training,"Strength 13, Martial Arts I",Treat target's Damage Threshold as lower.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Fringe Benefits,Rodian,Reduce the cost multiplier of goods bought on the Black Market.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Unified Squadron,Trained in Pilot,Gain bonuses on Pilot checks checks when near allies.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Frightful Presence,Charisma 15,"As a standard action, you may make a Persuasion check to intimidate all enemies within 6 squares. On a success, targets move -1 step down the condition track.",Saga Edition Core Rulebook,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Tireless Squad,Trained in Endurance,Gain bonuses on Endurance checks when near allies.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Hew,Power Attack,"When you use Power Attack, you ignore an amount of damage reduction equal to your base attack bonus.",Saga Edition Core Rulebook,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Mon Calamari Shipwright,Mon Calamari,Reroute Power more quickly and without the risk of failure.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Regenerative Healing,Trandoshan,Regain more Hit Points (but more slowly) when you catch a Second Wind.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Lightning Reflexes,,You gain a +2 bonus to your Reflex Defense.,Saga Edition Core Rulebook,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Instinctive Perception,Zabrak,Gain a temporary Force Point when your Perception reroll is lower.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Knock Prone,Int 13,"You may attempt to knock an opponent prone with a melee attack. If successful, the target falls prone.",Saga Edition Core Rulebook,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Harm’s Way,Base attack bonus +6,"As a reaction, you may take damage dealt to an adjacent ally instead of them.",Galaxy at War,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Advanced Melee Weapon Proficiency,,You are proficient with advanced melee weapons and do not take the -5 penalty when using them.,Saga Edition Core Rulebook,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Master Tracker,Rodian,Increase the die type when adding Force Points to a Survival check.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Hunter's Instincts,Rodian,"Reroll Perception checks, always keeping the better result.",Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Jedi Heritage,"Twi'lek, Force Sensitivity",Gain extra Force Powers when you take the Force Training Feat.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Bothan Will,Bothan,Gain a bonus to Will Defense when an enemy fails to overcome your iron will.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Logic Upgrade: Skill Swap,"Droid, Basic Processor",Swap a Trained Skill for an Untrained Skill on the fly.,Scavenger's Guide to Droids,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Frightening Presence,"Charisma 15, Frightful Presence","When you use Frightful Presence, targets that fail their Will Defense check move -2 steps down the condition track instead of -1.",Galaxy of Intrigue,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Fast Swimmer,Mon Calamari,Gain a bonus to your Swim Speed.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Wilderness Specialists,Trained in Survival,Gain bonuses on Survival checks when near allies.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Skill Challenge: Last Resort,None,"Reroll a third failed Skill Check during a Skill Challenge, keeping the better result.",Galaxy of Intrigue,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Forceful Weapon,"Trained in Use the Force, Battle Strike",You gain a +2 bonus on Use the Force checks made to activate Battle Strike.,The Force Unleashed Campaign Guide,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Bowcaster Marksman,Wookiee,Gain a bonus to damage rolls when you spend a Force Point on a Bowcaster attack.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Forceful Warrior,Trained in Use the Force,You gain a +2 bonus on melee attack rolls made while using a Force power.,The Force Unleashed Campaign Guide,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Spacer's Surge,Duros,Gain a temporary Force Point when you roll a Natural 20 on a Pilot check.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Shrewd Bargainer,Quarren,Suppress opponents' insight and morale bonuses to Will Defense.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Deep Sight,Quarren,Gain Darkvision and ignore Total Concealment from darkness.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Resilient Reflexes,Dex 13,You gain a +2 bonus on Reflex Defense against effects that target Dexterity and may reroll a failed check once per encounter.,Galaxy at War,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Weapon Proficiency (Pistols),,You are proficient with pistols and do not take the -5 penalty when using them.,Saga Edition Core Rulebook,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Thick Skin,Trandoshan,Gain a +2 Species bonus to your Fortitude Defense.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Conditioned,,You gain a +2 bonus on Endurance checks and may reroll a failed Endurance check once per encounter.,Galaxy at War,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Darkness Dweller,Sullustan,Impose a penalty to Stealth checks made when close to you.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Surgical Precision,Trained in Treat Injury,You gain a +2 bonus on Treat Injury checks and may reroll a failed check once per encounter.,Galaxy at War,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Imperceptible Liar,Twi'lek,Increase the die type when adding Force Points to a Deception check.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Clawed Subspecies,Quarren,Deal damage with sharp claws on Unarmed attacks.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Skill Challenge: Recovery,None,Treat a Skill Challenge as if it had the Recovery effect.,Galaxy of Intrigue,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Friendly Fire Avoidance,"Dex 13, Point Blank Shot",You may choose to exclude a number of squares equal to your Dexterity modifier from the area of effect of your autofire attacks.,Galaxy at War,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Read the Winds,Kel Dor,Detect hidden enemies within 10 squares of you.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Resilient Will,Wis 13,You gain a +2 bonus on Will Defense against effects that target Wisdom and may reroll a failed check once per encounter.,Galaxy at War,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Sure Climber,Sullustan,Gain a Climb Speed of 4 squares.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Gungan Weapon Master,Gungan,Increase the die type when adding Force Points to attacks with an Atlatl or Cesta.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Nature Specialist,Ithorian,Increase the die type when adding Force Points to a Knowledge (Life Sciences) check.,Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Resilient Talent,Level 6,"Once per day, you may gain the benefit of any talent from a class you have levels in for 1 minute. You may use this talent even if you do not meet its prerequisites.",Galaxy of Intrigue,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Forest Stalker,Ewok,"Reroll Stealth checks, always keeping the better result.",Star Wars Saga Edition,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Forceful Stun,"Trained in Use the Force, Force Stun",You gain a +2 bonus on Use the Force checks made to activate Force Stun.,The Force Unleashed Campaign Guide,No matching entry in swse_feats.json; left existing description/rules text unchanged.
Forceful Vitality,Trained in Use the Force,You gain a +2 bonus on Endurance checks and may reroll a failed Endurance check once per encounter.,The Force Unleashed Campaign Guide,No matching entry in swse_feats.json; left existing description/rules text unchanged.
