name,status,oldPrerequisite,newPrerequisite,prerequisiteChanged,oldBenefit,newEffect,oldSummary,newSummary,sourceUrl
Indomitable Will,db_only_not_updated,Wis 13,Wis 13,no,You gain a +2 bonus on Will Defense against mind-affecting effects and may reroll a failed Will Defense check once per encounter.,You gain a +2 bonus on Will Defense against mind-affecting effects and may reroll a failed Will Defense check once per encounter.,You gain a +2 bonus on Will Defense against mind-affecting effects and may reroll a failed Will Defense check once per encounter.,You gain a +2 bonus on Will Defense against mind-affecting effects and may reroll a failed Will Defense check once per encounter.,
Wounding Strike,db_only_not_updated,Base attack bonus +6,Base attack bonus +6,no,"Once per encounter, you may move a target -1 step down the condition track when you hit with a melee attack.","Once per encounter, you may move a target -1 step down the condition track when you hit with a melee attack.","Once per encounter, you may move a target -1 step down the condition track when you hit with a melee attack.","Once per encounter, you may move a target -1 step down the condition track when you hit with a melee attack.",
Pitiless Warrior,db_only_not_updated,Trandoshan,Trandoshan,no,Gain Bonus Hit Points whenever you take down a foe.,Gain Bonus Hit Points whenever you take down a foe.,Gain Bonus Hit Points whenever you take down a foe.,Gain Bonus Hit Points whenever you take down a foe.,
Scion of Dorin,db_only_not_updated,Kel Dor,Kel Dor,no,Gain a bonus to Fortitude Defense against Atmospheric Hazards.,Gain a bonus to Fortitude Defense against Atmospheric Hazards.,Gain a bonus to Fortitude Defense against Atmospheric Hazards.,Gain a bonus to Fortitude Defense against Atmospheric Hazards.,
Saber Throw,db_only_not_updated,Trained in Use the Force,Trained in Use the Force,no,You may throw your lightsaber as a ranged attack using Use the Force instead of a ranged attack roll. The lightsaber returns to your hand at the end of the turn.,You may throw your lightsaber as a ranged attack using Use the Force instead of a ranged attack roll. The lightsaber returns to your hand at the end of the turn.,You may throw your lightsaber as a ranged attack using Use the Force instead of a ranged attack roll.,You may throw your lightsaber as a ranged attack using Use the Force instead of a ranged attack roll.,
Pincer,updated,"Droid with Claw or Hand Appendage, Base Attack Bonus +1, Pin, Crush","Droid, Claw or Hand Appendage, Base Attack Bonus +1, Pin, Crush",yes,Maintain Pin feat and make subsequent Grapple checks as a Swift Action. Apply Crush to each check.,"When you successfully Pin an enemy, you can maintain the Pin beyond 1 round and can make subsequent Grapple checks against the Pinned enemy as a Swift Action. You can apply the Crush Feat whenever your subsequent checks are successful.",Maintain Pin feat and make subsequent Grapple checks as a Swift Action.,Maintain Pin feat and make subsequent Grapple checks as a Swift Action. Apply Crush to each check.,https://swse.fandom.com/wiki/Pincer
Grapple Resistance,updated,None,None,no,Gain a +5 bonus to resist Grab and Grapple attacks.,"You get a +5 bonus to your Reflex Defense when an enemy makes a Grab or Grapple attack against you, and you get a +5 bonus to all opposed Grapple checks. All objects that you are holding or carrying gain a +5 bonus to their Reflex Defense when attacked (see Attack an Object).",Gain a +5 bonus to resist Grab and Grapple attacks.,Gain a +5 bonus to resist Grab and Grapple attacks.,https://swse.fandom.com/wiki/Grapple_Resistance
Unstoppable Force,updated,None,None,no,Gain a +5 bonus to Fortitude Defense and Will Defense against any effect requiring a Use the Force check.,You gain a +5 insight bonus to Fortitude Defense and Will Defense against any attack or effect requiring a Use the Force check.,Gain a +5 bonus to Fortitude Defense and Will Defense against any effect requiring a Use the Force check.,Gain a +5 bonus to Fortitude Defense and Will Defense against any effect requiring a Use the Force check.,https://swse.fandom.com/wiki/Unstoppable_Force
Conditioning,updated,"Strength 13, Constitution 13","Strength 13, Constitution 13",no,Reroll Strength and Constitution based Skill Checks.,"You can reroll any
Strength
- or Constitution -based Skill Checks for Skills that you are Trained in. The result of the reroll must be accepted even if it is worse. Additionally, once per encounter you can add your Strength modifier to your Fortitude Defense as a Reaction ; this bonus lasts until the beginning of your next turn.",Reroll Strength and Constitution based Skill Checks.,Reroll Strength and Constitution based Skill Checks.,https://swse.fandom.com/wiki/Conditioning
Stealthy,db_only_not_updated,,,no,You gain a +2 bonus on Stealth checks and may reroll a failed Stealth check once per encounter.,You gain a +2 bonus on Stealth checks and may reroll a failed Stealth check once per encounter.,You gain a +2 bonus on Stealth checks and may reroll a failed Stealth check once per encounter.,You gain a +2 bonus on Stealth checks and may reroll a failed Stealth check once per encounter.,
Burst Fire,updated,Proficient with Heavy Weapons,Proficient with Heavy Weapons,no,Take a -5 penalty on an Autofire attack to gain +2 dice of damage.,"When using a ranged weapon with Autofire capability, and that you are Proficient with, in Autofire mode, you may fire a short burst as a single attack against a single target. You take a -5 penalty on your attack roll, but deal +2 dice of damage.

The effects of this Feat do not stack with the extra damage provided by the Deadeye or Rapid Shot feats.

If you do not have a Strength of 13 or higher, increase the penalty on attacks to -10 when using this Feat with non- Vehicle Weapons.",Take a -5 penalty on an Autofire attack to gain +2 dice of damage.,Take a -5 penalty on an Autofire attack to gain +2 dice of damage.,https://swse.fandom.com/wiki/Burst_Fire
Zero Range,updated,Point-Blank Shot,Point-Blank Shot,no,Gain a +1 bonus on your attack roll and deal +1 die of damage when making a ranged attack against an adjacent target or a target in your Fighting Space.,"When firing a ranged weapon at a target within or adjacent to your Fighting Space, you gain a +1 bonus on the attack roll and deal +1 die of damage on a hit.",Gain a +1 bonus on your attack roll and deal +1 die of damage when making a ranged attack against an adjacent target or a target in your Fighting Space.,Gain a +1 bonus on your attack roll and deal +1 die of damage when making a ranged attack against an adjacent target or a target in your Fighting Space.,https://swse.fandom.com/wiki/Zero_Range
Mounted Regiment,db_only_not_updated,Trained in Ride,Trained in Ride,no,Gain bonuses on Ride checks when near allies.,Gain bonuses on Ride checks when near allies.,Gain bonuses on Ride checks when near allies.,Gain bonuses on Ride checks when near allies.,
Forceful Throw,db_only_not_updated,"Trained in Use the Force, Move Object","Trained in Use the Force, Move Object",no,You gain a +2 bonus on Use the Force checks made to activate Move Object.,You gain a +2 bonus on Use the Force checks made to activate Move Object.,You gain a +2 bonus on Use the Force checks made to activate Move Object.,You gain a +2 bonus on Use the Force checks made to activate Move Object.,
Toughness,updated,None,None,no,Gain +1 Hit Point per Character Level.,You gain +1 Hit Point per Character Level.,Gain +1 Hit Point per Character Level.,Gain +1 Hit Point per Character Level.,https://swse.fandom.com/wiki/Toughness
Grazing Shot,updated,Point-Blank Shot,Point-Blank Shot,no,"Strike two targets in direct line of sight, dealing half damage to each.","When you successfully make a ranged attack against a single target, you can make a second attack roll against an additional target that is in direct line of sight, and no farther than 6 squares from the original target. If the second attack roll succeeds, make a single damage roll, and divide the damage equally between the two targets. If the second attack roll fails, you deal no damage to either target.","Strike two targets in direct line of sight, dealing half damage to each.","Strike two targets in direct line of sight, dealing half damage to each.",https://swse.fandom.com/wiki/Grazing_Shot
Ascension Specialists,db_only_not_updated,Trained in Climb,Trained in Climb,no,Gain bonuses on Climb checks when near allies.,Gain bonuses on Climb checks when near allies.,Gain bonuses on Climb checks when near allies.,Gain bonuses on Climb checks when near allies.,
Rapid Reaction,updated,None,None,no,React twice to the same trigger once per encounter.,"Once per encounter, you can use two different Reactions in response to the same trigger. For example, if you use the Deflect Talent and fail to negate the attack, you can also use Negate Energy as a response to the same attack.",React twice to the same trigger once per encounter.,React twice to the same trigger once per encounter.,https://swse.fandom.com/wiki/Rapid_Reaction
Hard Target,db_only_not_updated,"Dex 13, Dodge","Dex 13, Dodge",no,You gain a +2 bonus to Reflex Defense against ranged attacks while moving at least 2 squares on your turn.,You gain a +2 bonus to Reflex Defense against ranged attacks while moving at least 2 squares on your turn.,You gain a +2 bonus to Reflex Defense against ranged attacks while moving at least 2 squares on your turn.,You gain a +2 bonus to Reflex Defense against ranged attacks while moving at least 2 squares on your turn.,
Confident Success,db_only_not_updated,Bothan,Bothan,no,Gain a Force Point when you successfully Learn Secret Information.,Gain a Force Point when you successfully Learn Secret Information.,Gain a Force Point when you successfully Learn Secret Information.,Gain a Force Point when you successfully Learn Secret Information.,
Channel Rage,updated,Rage Species Trait,Rage Species Trait,no,"Instead of Raging, gain +5 to Will Defense.","Once per day, instead of entering into a Rage, you gain a +5 bonus to your Will Defense until the end of the encounter. This bonus counts as using your Rage ability for that day.","Instead of Raging, gain +5 to Will Defense.","Instead of Raging, gain +5 to Will Defense.",https://swse.fandom.com/wiki/Channel_Rage
Skill Focus,updated,None,None,no,Gain +5 competence bonus on Skill Checks with one Trained Skill.,Choose one Skill in which you are Trained. You gain a +5 competence bonus on all Skill Checks made with that Skill.,Gain +5 competence bonus on Skill Checks with one Trained Skill.,Gain +5 competence bonus on Skill Checks with one Trained Skill.,https://swse.fandom.com/wiki/Skill_Focus
Accelerated Strike,updated,Base Attack Bonus +6,Base Attack Bonus +6,no,"Once per encounter, make a Full Attack as a Standard Action.","Once per encounter, when using only weapons with which you are proficient, you can take a Full Attack Action as a Standard Action.","Once per encounter, make a Full Attack as a Standard Action.","Once per encounter, make a Full Attack as a Standard Action.",https://swse.fandom.com/wiki/Accelerated_Strike
Wilderness First Aid,updated,Trained in Survival,Trained in Survival.,no,Use basic Survival skills as if you have a Medpac for Treat Injury checks.,"Once per day, you can make a DC 20 Survival check. If the check is successful, when you use the Basic Survival application of the Survival skill, you are considered to have a Medpac for any Treat Injury checks made until the end of the day.",Use basic Survival skills as if you have a Medpac for Treat Injury checks.,Use basic Survival skills as if you have a Medpac for Treat Injury checks.,https://swse.fandom.com/wiki/Wilderness_First_Aid
Forceful Will,db_only_not_updated,Trained in Use the Force,Trained in Use the Force,no,You gain a +2 bonus on Will Defense against mind-affecting effects and may reroll a failed Will Defense check once per encounter.,You gain a +2 bonus on Will Defense against mind-affecting effects and may reroll a failed Will Defense check once per encounter.,You gain a +2 bonus on Will Defense against mind-affecting effects and may reroll a failed Will Defense check once per encounter.,You gain a +2 bonus on Will Defense against mind-affecting effects and may reroll a failed Will Defense check once per encounter.,
Reactive Awareness,db_only_not_updated,Trained in Perception,Trained in Perception,no,"Once per encounter, you may reroll a Perception check and take the better result.","Once per encounter, you may reroll a Perception check and take the better result.","Once per encounter, you may reroll a Perception check and take the better result.","Once per encounter, you may reroll a Perception check and take the better result.",
Technical Experts,db_only_not_updated,Trained in Mechanics,Trained in Mechanics,no,Gain bonuses on Mechanics checks when near allies.,Gain bonuses on Mechanics checks when near allies.,Gain bonuses on Mechanics checks when near allies.,Gain bonuses on Mechanics checks when near allies.,
Lucky Shot,db_only_not_updated,Point Blank Shot,Point Blank Shot,no,"Once per encounter, you may reroll a ranged attack roll and take the better result.","Once per encounter, you may reroll a ranged attack roll and take the better result.","Once per encounter, you may reroll a ranged attack roll and take the better result.","Once per encounter, you may reroll a ranged attack roll and take the better result.",
Logic Upgrade: Self-Defense,db_only_not_updated,Droid,Droid,no,Grant yourself +2 to the Defense of your choice for 1 round.,Grant yourself +2 to the Defense of your choice for 1 round.,Grant yourself +2 to the Defense of your choice for 1 round.,Grant yourself +2 to the Defense of your choice for 1 round.,
Staggering Attack,updated,Base attack bonus +6,Base Attack Bonus +1,yes,"Once per encounter, you may move a target -1 step down the condition track when you hit with a melee attack.","When using a melee weapon with which you are proficient, you can make an attack that disrupts an enemy's concentration. You take a -2 penalty on your attack roll, and if your attack deals damage, the target takes a -2 penalty to Skill Checks until the end of your next turn. Alternatively, you can take a -5 penalty to your attack roll, and if your attack deals damage, the target takes a -5 penalty to Skill Checks until end of your next turn.","Once per encounter, you may move a target -1 step down the condition track when you hit with a melee attack.",Impose penalties to enemy Skill Checks with a successful attack.,https://swse.fandom.com/wiki/Staggering_Attack_(GaW)
Stunning Strike,db_only_not_updated,Base attack bonus +6,Base attack bonus +6,no,"Once per encounter, you may move a target -1 step down the condition track when you hit with a melee attack.","Once per encounter, you may move a target -1 step down the condition track when you hit with a melee attack.","Once per encounter, you may move a target -1 step down the condition track when you hit with a melee attack.","Once per encounter, you may move a target -1 step down the condition track when you hit with a melee attack.",
Strong Bellow,db_only_not_updated,Ithorian,Ithorian,no,Use your Bellow ability without moving down the Condition Track.,Use your Bellow ability without moving down the Condition Track.,Use your Bellow ability without moving down the Condition Track.,Use your Bellow ability without moving down the Condition Track.,
Wrruushi Training,db_only_not_updated,"Constitution 13, Martial Arts I, Wookiee","Constitution 13, Martial Arts I, Wookiee",no,Gain bonus hit points on Unarmed attacks. Deny target Equipment bonus.,Gain bonus hit points on Unarmed attacks. Deny target Equipment bonus.,Gain bonus hit points on Unarmed attacks.,Gain bonus hit points on Unarmed attacks.,
Medical Team,db_only_not_updated,Trained in Treat Injury,Trained in Treat Injury,no,Gain bonuses on Treat Injury checks when near allies.,Gain bonuses on Treat Injury checks when near allies.,Gain bonuses on Treat Injury checks when near allies.,Gain bonuses on Treat Injury checks when near allies.,
K'tara Training,db_only_not_updated,"Martial Arts I, Trained in Stealth","Martial Arts I, Trained in Stealth",no,Deal extra damage against Flat-Footed enemy. Render target Mute.,Deal extra damage against Flat-Footed enemy. Render target Mute.,Deal extra damage against Flat-Footed enemy.,Deal extra damage against Flat-Footed enemy.,
Force Regimen Mastery,updated,"Force Sensitivity, Trained in Use the Force","Force Sensitivity, Trained in Use the Force",no,Learn a number of Force Regimens equal to 1 + your Wisdom modifier (minimum of 1).,You learn a number of Force Regimens equal to 1 + your Wisdom modifier (minimum 1).,Learn a number of Force Regimens equal to 1 + your Wisdom modifier (minimum of 1).,Learn a number of Force Regimens equal to 1 + your Wisdom modifier (minimum of 1).,https://swse.fandom.com/wiki/Force_Regimen_Mastery
Tumble Defense,updated,None,None,no,Your martial ability makes it harder for opponents to Tumble past.,"When an opponent attempts to Tumble through a square you threaten with a melee weapon with which you are proficient, add your Base Attack Bonus to the DC of the Acrobatics check made to Tumble. If the target fails the Acrobatics check to Tumble, you can make an Attack of Opportunity against that opponent as normal.",Your martial ability makes it harder for opponents to Tumble past.,Your martial ability makes it harder for opponents to Tumble past.,https://swse.fandom.com/wiki/Tumble_Defense
Exotic Weapon Proficiency,updated,Base Attack Bonus +1,Base Attack Bonus +1,no,Wield an Exotic Weapon without penalty.,Select a single weapon from either the Exotic Weapons (Melee) or Exotic Weapons (Ranged) weapon groups; you make attack rolls with the selected weapon without penalty.,Wield an Exotic Weapon without penalty.,Wield an Exotic Weapon without penalty.,https://swse.fandom.com/wiki/Exotic_Weapon_Proficiency
Close Combat Escape,updated,Trained in Acrobatics,Trained in Acrobatics,no,Escape Grapple and attack.,"When you successfully use Acrobatics to escape a Grapple, you can spend a Swift Action to make a single attack with a melee weapon or an Unarmed attack against the opponent that had Grappled you. If the attack hits, it deals normal damage, and your opponent is considered Flat-Footed until the start of its next turn.",Escape Grapple and attack.,Escape Grapple and attack.,https://swse.fandom.com/wiki/Close_Combat_Escape
Vehicular Combat,updated,Trained in Pilot,Trained in Pilot,no,Negate one attack per round against the Vehicle you're piloting.,"Once per round (as a Reaction), when you are piloting a Vehicle or Starship, you may negate a weapon hit by making a successful Pilot check. The DC of the Skill Check is equal to the result of the attack roll you wish to negate. In addition, while you are piloting a Vehicle, you are considered proficient with pilot-operated Vehicle Weapons.",Negate one attack per round against the Vehicle you're piloting.,Negate one attack per round against the Vehicle you're piloting.,https://swse.fandom.com/wiki/Vehicular_Combat
Damage Conversion,updated,"Droid, Dexterity 13","Droid, Dexterity 13",no,Take additional Hit Point damage instead of moving down the Condition Track.,"When you take damage from an attack against you (other than an Area Attack, or an attack that deals Ion or Force damage) and that damage equals or exceeds your Damage Threshold, you can take an additional 10 points of damage instead of moving down the Condition Track. Each subsequent time you use this Feat in a single encounter, the additional damage you take increases by 5 points.",Take additional Hit Point damage instead of moving down the Condition Track.,Take additional Hit Point damage instead of moving down the Condition Track.,https://swse.fandom.com/wiki/Damage_Conversion
Lightning Draw,updated,Quick Draw,Quick Draw,no,Draw and fire as a Standard Action.,"Once per encounter, you can draw a holstered weapon and attack as a single Standard Action.",Draw and fire as a Standard Action.,Draw and fire as a Standard Action.,https://swse.fandom.com/wiki/Lightning_Draw
Tool Frenzy,updated,Small or larger Droid with 2+ Tool Appendages,"Droid, Small size or larger, 2+ Tool Appendages",yes,Gain +2 to attack rolls and damage rolls with nonweapon Appendages in exchange for a -2 penalty to Reflex Defense.,"As a Standard Action, using Appendages not normally considered Weapons, you can make several strikes as a single attack against a single target. Make an Unarmed melee attack with a +2 bonus; until the end of your next turn, you take a -2 penalty to your Reflex Defense. Use the damage die of the highest rated Appendage when determining damage.",Gain +2 to attack rolls and damage rolls with nonweapon Appendages in exchange for a -2 penalty to Reflex Defense.,Gain +2 to attack rolls and damage rolls with nonweapon Appendages in exchange for a -2 penalty to Reflex Defense.,https://swse.fandom.com/wiki/Tool_Frenzy
Quick Comeback,db_only_not_updated,Gamorrean,Gamorrean,no,Recover quickly after being moved down the Condition Track by damage.,Recover quickly after being moved down the Condition Track by damage.,Recover quickly after being moved down the Condition Track by damage.,Recover quickly after being moved down the Condition Track by damage.,
Ample Foraging,db_only_not_updated,Ewok,Ewok,no,Grant a bonus to allies' Fortitude Defense by foraging.,Grant a bonus to allies' Fortitude Defense by foraging.,Grant a bonus to allies' Fortitude Defense by foraging.,Grant a bonus to allies' Fortitude Defense by foraging.,
Deft Charge,updated,None,None,no,"Take Swift Actions, Reactions, and Free Actions after you Charge before your turn ends.","After you Charge, you can take Swift Actions, Reactions, and Free Actions before your turn ends.","Take Swift Actions, Reactions, and Free Actions after you Charge before your turn ends.","Take Swift Actions, Reactions, and Free Actions after you Charge before your turn ends.",https://swse.fandom.com/wiki/Deft_Charge
Riflemaster,updated,Weapon Proficiency (Rifles),Weapon Proficiency (Rifles),no,Gain benefits when using certain Rifles.,"When you make a ranged attack with a Rifle with which you are proficient, you gain one of the following benefits, depending on the kind of Rifle you use.

- Blaster Carbine: You can Brace a Blaster Carbine set to Autofire, even though it is not an Autofire -only weapon.
- Blaster Rifle: You treat the Blaster Rifle as an Accurate Weapon.
- Heavy Blaster Rifle: When you use a Heavy Blaster Rifle, the damage dice increase from d10 to d12.
- Light Repeating Blaster: You treat the Light Repeating Blaster as if it were Medium instead of Large.",Gain benefits when using certain Rifles.,Gain benefits when using certain Rifles.,https://swse.fandom.com/wiki/Riflemaster
Sharp Senses,db_only_not_updated,Mon Calamari,Mon Calamari,no,Increase the die type when adding Force Points to a Perception check.,Increase the die type when adding Force Points to a Perception check.,Increase the die type when adding Force Points to a Perception check.,Increase the die type when adding Force Points to a Perception check.,
Weapon Finesse,updated,Base Attack Bonus +1,Base Attack Bonus +1,no,Use Dexterity modifier instead of Strength modifier on attack rolls with Light Melee Weapons and Lightsabers.,"When using a Light Melee Weapon or a Lightsaber, you may use your Dexterity modifier instead of your Strength modifier on attack rolls.",Use Dexterity modifier instead of Strength modifier on attack rolls with Light Melee Weapons and Lightsabers.,Use Dexterity modifier instead of Strength modifier on attack rolls with Light Melee Weapons and Lightsabers.,https://swse.fandom.com/wiki/Weapon_Finesse
Predictive Defense,updated,Intelligence 13,Intelligence 13,no,Use Dexterity or Intelligence to determine Reflex Defense.,You can use either your Dexterity modifier or your Intelligence modifier to determine your Reflex Defense.,Use Dexterity or Intelligence to determine Reflex Defense.,Use Dexterity or Intelligence to determine Reflex Defense.,https://swse.fandom.com/wiki/Predictive_Defense
Disturbing Presence,updated,Trained in Deception,Trained in Deception,no,Make a Deception check to move through a Threatened Area without provoking Attacks of Opportunity.,"If you succeed on a DC 15 Deception check, you can move through the Threatened area or Fighting Space of an enemy as part of your move action without provoking an attack of opportunity. Each Threatened space or occupied space that you move through in this manner counts as 2 squares of movement.",Make a Deception check to move through a Threatened Area without provoking Attacks of Opportunity.,Make a Deception check to move through a Threatened Area without provoking Attacks of Opportunity.,https://swse.fandom.com/wiki/Disturbing_Presence
Adaptable Talent,updated,None,None,no,Temporarily gain access to an additional Talent.,"Choose one Talent that you meet the prerequisites for, from a Class you possess. Once per day, after at least 6 hours of rest, you can choose to swap out one of your current Talents for the Talent you chose for this Feat. The Talent you swap out cannot be the prerequisite for any other Talent you have. You can swap back to your original Talent after at least 6 hours of rest.",Temporarily gain access to an additional Talent.,Temporarily gain access to an additional Talent.,https://swse.fandom.com/wiki/Adaptable_Talent
Poison Resistance,updated,Constitution 13,Constitution 13,no,You are inherently more resistant to Poison.,"You gain a +5 bonus to your Fortitude Defense when attacked by Poison. If the attack succeeds, you take only half damage.",You are inherently more resistant to Poison.,You are inherently more resistant to Poison.,https://swse.fandom.com/wiki/Poison_Resistance
Dive for Cover,updated,Trained in Jump,Trained in Jump,no,Jump for Cover as a Reaction.,"Once per turn, as a Reaction to being targeted by a ranged attack, you can make a Jump check to Long Jump. If you land in a square that provides you with Cover from your attacker, you gain the normal Cover bonus against the attack, even if you didn't have Cover at the time the attack was made. When you use this Feat, you always land Prone.",Jump for Cover as a Reaction.,Jump for Cover as a Reaction.,https://swse.fandom.com/wiki/Dive_for_Cover
Advantageous Cover,updated,Trained in Stealth,Trained in Stealth,no,Gain additional benefits from Cover.,"When you have Cover, you take no damage from Area Attacks, even if the attack roll exceeds your Reflex Defense.",Gain additional benefits from Cover.,Gain additional benefits from Cover.,https://swse.fandom.com/wiki/Advantageous_Cover
Fortifying Recovery,updated,Constitution 13,Constitution 13,no,Gain Bonus Hit Points when you Recover.,"When you take the Recover Action, you also gain a number of Bonus Hit Points equal to 2 x your Constitution bonus (Minimum 2). Damage is subtracted from the Bonus Hit Points first, and any Bonus Hit Points remaining at the end of encounter are lost. Bonus Hit Points do not stack.",Gain Bonus Hit Points when you Recover.,Gain Bonus Hit Points when you Recover.,https://swse.fandom.com/wiki/Fortifying_Recovery
Flèche,updated,Base Attack Bonus +1,Base Attack Bonus +1,no,"When Charging, turn any natural attack roll of 17+ into a Critical Hit.",,"When Charging, turn any natural attack roll of 17+ into a Critical Hit.","When Charging, turn any natural attack roll of 17+ into a Critical Hit.",https://swse.fandom.com/wiki/Fl%C3%A8che
Tactical Advantage,updated,Combat Reflexes,Combat Reflexes,no,Make Attack of Opportunity and move 1 square.,"When you successfully damage an opponent using an Attack of Opportunity, you can immediately move 1 square in any direction. This movement does not provoke Attacks of Opportunity.",Make Attack of Opportunity and move 1 square.,Make Attack of Opportunity and move 1 square.,https://swse.fandom.com/wiki/Tactical_Advantage
Hideous Visage,updated,Shapeshift Species Trait,Shapeshift Species Trait,no,Deception check to push opponent away.,"Once per encounter, as a Swift Action, you can make a Deception check against one opponent that can see you. If the check equals or exceeds the opponent's Will Defense, you move the target 1 square away from you and it takes a -1 penalty on all attacks until the start of your next turn. This is a Mind-Affecting Fear effect.",Deception check to push opponent away.,Deception check to push opponent away.,https://swse.fandom.com/wiki/Hideous_Visage
