Name,Category,Domain,Size,Type,Confidence,Notes
"The Crimson Axe","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"S-130 Shelter Medical Speeder","speeder","planetary","large","Speeder","High",""
"Mobile Spacedock 220","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"Cutlass-9 Patrol Fighter","starfighter","starship","huge","Vehicle","High",""
"Mu-2 Long Range Shuttle","transport","starship","large","Vehicle","High",""
"Archaic Dreadnaught-Class Heavy Cruiser","capitalShip","starship","large","Vehicle","High",""
"Cardan III-Class Space Station","spaceStation","starship","large","Vehicle","High",""
"J-1 Shuttle","transport","starship","gargantuan","Vehicle","High",""
"74-M Speeder Bike","speeder","planetary","large","Speeder","High",""
"A-A5 Speeder Truck","speeder","planetary","gargantuan","Speeder","High",""
"Flare-S Swoop","speeder","planetary","huge","Vehicle","High",""
"Imperious-Class Star Destroyer","capitalShip","starship","large","Vehicle","High",""
"VT-49 Decimator","REVIEW_REQUIRED","?","colossal","Vehicle","Low","Manual review"
"Sentinel-Class Landing Craft","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"Corellian Consular-Class Cruiser","capitalShip","starship","large","Vehicle","High",""
"A-7 Hunter Interceptor","starfighter","starship","huge","Vehicle","High",""
"AT-AP","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"Pelagia Duplex Command Assault Gunship","REVIEW_REQUIRED","?","large","Gunship","Low","Manual review"
"Hound's Tooth","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"SPHA-M","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"Air-2 Racing Swoop","speeder","planetary","huge","Vehicle","High",""
"The Last Resort","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"Corellian CR-20 Troop Transport","transport","starship","colossal","Transport","High",""
"Charger c70 Corellian Consular-Class Cruiser","capitalShip","starship","large","Vehicle","High",""
"Scimitar Assault Bomber","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"TIE Bomber","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"Manta Droid Subfighter","starfighter","starship","huge","Vehicle","High",""
"Prototype Dreadnaught-Class Heavy Cruiser","capitalShip","starship","large","Vehicle","High",""
"AEG-77 Vigo Gunship","REVIEW_REQUIRED","?","large","Gunship","Low","Manual review"
"M3-A Scyk Fighter","starfighter","starship","gargantuan","Vehicle","High",""
"The Grinning Liar","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"U-LAV","REVIEW_REQUIRED","?","huge","Vehicle","Low","Manual review"
"V-35 Courier","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"Munificent-Class Frigate","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"Herald-Class Shuttle","transport","starship","gargantuan","Vehicle","High",""
"TIE Shuttle","transport","starship","gargantuan","Vehicle","High",""
"Tri-Scythe-Class Frigate","REVIEW_REQUIRED","?","colossal (frigate)","Vehicle","Low","Manual review"
"Nune-Class Imperial Shuttle","transport","starship","gargantuan","Vehicle","High",""
"The Ebon Hawk","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"MR/RV","REVIEW_REQUIRED","?","colossal","Vehicle","Low","Manual review"
"Toscan 8-Q Starfighter","starfighter","starship","gargantuan","Starfighter","High",""
"Corellian YV-545 Light Freighter","transport","starship","huge","Vehicle","High",""
"CK-6 Freeco Speeder Bike","speeder","planetary","huge","Speeder","High",""
"The Banshee","REVIEW_REQUIRED","?","huge","Vehicle","Low","Manual review"
"Nova-Class Battlecruiser Refit","capitalShip","starship","large","Vehicle","High",""
"Droch-Class Boarding Ship","REVIEW_REQUIRED","?","huge","Vehicle","Low","Manual review"
"Corellian Crix-Class Courier Shuttle","transport","starship","colossal","Vehicle","High",""
"CX-133 Chaos Fighter","starfighter","starship","huge","Vehicle","High",""
"AT-AA","REVIEW_REQUIRED","?","colossal","Vehicle","Low","Manual review"
"Miy'til Command Starfighter","starfighter","starship","large","Starfighter","High",""
"Canderous-Class Assault Tank","tracked","planetary","colossal","Tank","High",""
"H-60 Tempest Bomber","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"Protector VI Patrol Speeder","speeder","planetary","huge","Speeder","High",""
"Tsmeu-6 Personal Wheel Bike","speeder","planetary","huge","Vehicle","High",""
"Helot-Class Medium Space Transport","transport","starship","large","Transport","High",""
"Corellian Crix-Class Assault Shuttle","transport","starship","colossal","Vehicle","High",""
"StarViper-Class Attack Platform","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"Star Saber XC-01 Starfighter","starfighter","starship","gargantuan","Starfighter","High",""
"AeroChaser Speeder Bike","speeder","planetary","large","Speeder","High",""
"DP20 Corellian Frigate","REVIEW_REQUIRED","?","colossal (frigate)","Vehicle","Low","Manual review"
"The Millennium Falcon","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"Recusant-Class Light Destroyer","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"Ghtroc 720 Freighter","transport","starship","gargantuan","Vehicle","High",""
"WLO-5 Speeder Tank","speeder","planetary","gargantuan","Speeder","High",""
"Corellian YU-410 Light Freighter","transport","starship","gargantuan","Vehicle","High",""
"Seltiss-2 Caravel Cabin","REVIEW_REQUIRED","?","huge","Vehicle","Low","Manual review"
"Corellian YT-1250 Freighter","transport","starship","gargantuan","Vehicle","High",""
"TL-1800 Light Freighter","transport","starship","gargantuan","Vehicle","High",""
"Jumpstar HPF Starfighter","starfighter","starship","gargantuan","Starfighter","High",""
"Eta-2 Actis Heavy-Defense Interceptor","starfighter","starship","large","Vehicle","High",""
"Davaab-Type Starfighter","starfighter","starship","gargantuan","Starfighter","High",""
"Dreadnaught-Class Heavy Cruiser","capitalShip","starship","large","Vehicle","High",""
"Lucrehulk-Class Battleship","capitalShip","starship","large","Vehicle","High",""
"Victory II-Class Star Destroyer","capitalShip","starship","large","Vehicle","High",""
"Scarab-Class Droid Starfighter","starfighter","starship","huge","Starfighter","High",""
"Medlifter Troop Transport","transport","starship","huge","Transport","High",""
"GAT-12h Skipray Blastboat","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"TX-130T Fighter Tank","starfighter","starship","gargantuan","Tank","High",""
"Talon I Combat Cloud Car","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"GPE-7300 Space Transport","transport","starship","gargantuan","Transport","High",""
"The Glorious Chariot","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"T-65B X-Wing Starfighter","starfighter","starship","gargantuan","Starfighter","High",""
"T2-B Repulsor Tank","tracked","planetary","gargantuan","Tank","High",""
"SCT Scout Craft","REVIEW_REQUIRED","?","colossal (frigate)","Vehicle","Low","Manual review"
"""Vulture"" Droid Starfighter","starfighter","starship","huge","Starfighter","High",""
"Star Galleon-Class Frigate","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"Conqueror-Class Assault Ship","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"NovaSword Space Superiority Fighter","starfighter","starship","large","Vehicle","High",""
"AT-TE","walker","planetary","colossal","Vehicle","High",""
"StarForge Station","spaceStation","starship","large","Vehicle","High",""
"STAP","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"ILH-KK Citadel-Class Civilian Cruiser","capitalShip","starship","large","Vehicle","High",""
"T-65XJ3 X-Wing Starfighter","starfighter","starship","gargantuan","Starfighter","High",""
"Gladius-Class Light Freighter","transport","starship","gargantuan","Vehicle","High",""
"Luke's Snowspeeder","speeder","planetary","huge","Speeder","High",""
"Ministry-Class Orbital Shuttle","transport","starship","gargantuan","Vehicle","High",""
"Swift Assault 5 Hovercraft","speeder","planetary","gargantuan","Vehicle","High",""
"Miy'til Starfighter","starfighter","starship","large","Starfighter","High",""
"Nova-Class Battlecruiser","capitalShip","starship","large","Vehicle","High",""
"Delta-7 Aethersprite High-Speed Interceptor","starfighter","starship","large","Vehicle","High",""
"R-41 Starchaser","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"E-Wing Escort Starfighter","starfighter","starship","large","Starfighter","High",""
"Subjugator-Class Heavy Cruiser","capitalShip","starship","large","Vehicle","High",""
"B-Wing Shuttle","starfighter","starship","huge","Vehicle","High",""
"X-83 TwinTail Starfighter","starfighter","starship","gargantuan","Starfighter","High",""
"Ton-Falk-Class Escort Carrier","REVIEW_REQUIRED","?","colossal (frigate)","Vehicle","Low","Manual review"
"Modified ILH-KK Citadel-Class Civilian Cruiser","capitalShip","starship","large","Vehicle","High",""
"Junker TYE-Wing","REVIEW_REQUIRED","?","huge","Vehicle","Low","Manual review"
"Golan VIII Space Defense Platform","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"SPHA-I","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"The Blood Brother","REVIEW_REQUIRED","?","colossal (frigate)","Vehicle","Low","Manual review"
"Pursuer-Class Enforcement Ship","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"Lucrehulk-Class Droid Control Ship","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"Providence-Class Destroyer","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"Laser Borer","REVIEW_REQUIRED","?","huge","Vehicle","Low","Manual review"
"PTV-2100 Incarcerator","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"MedStar-Class Frigate","REVIEW_REQUIRED","?","colossal (frigate)","Vehicle","Low","Manual review"
"Sigma-Class Long-Range Shuttle","transport","starship","gargantuan","Vehicle","High",""
"""Oevvaor"" Jet Catamaran","REVIEW_REQUIRED","?","huge","Vehicle","Low","Manual review"
"Krayt's Honor","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"Imperial Customs Corvette","REVIEW_REQUIRED","?","colossal (frigate)","Vehicle","Low","Manual review"
"Tartan-Class Patrol Cruiser","capitalShip","starship","colossal (frigate)","Vehicle","High",""
"Corellian G9 Rigger-Class Light Freighter","transport","starship","large","Vehicle","High",""
"WLO-5 Speeder Tank","speeder","planetary","gargantuan","Speeder","High",""
"Sith Interceptor","starfighter","starship","huge","Vehicle","High",""
"Lethisk-Class Armed Freighter","transport","starship","gargantuan","Vehicle","High",""
"X-34 Landspeeder","speeder","planetary","large","Speeder","High",""
"Conductor-Class Short-Haul Landing Craft","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"MTT","REVIEW_REQUIRED","?","colossal","Vehicle","Low","Manual review"
"The Moomo Williwaw","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"TX-130 Saber-Class Fighter Tank","starfighter","starship","gargantuan","Tank","High",""
"Rebel Assault Frigate Mark I","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"Nebulon-B Escort Frigate","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"XQ2 Space Platform","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"AT-PT","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"Gladiator-Class Star Destroyer","capitalShip","starship","large","Vehicle","High",""
"Mekuun Heavy Tracker","REVIEW_REQUIRED","?","colossal","Vehicle","Low","Manual review"
"Model 67 Shrieker Speeder Bike","speeder","planetary","large","Speeder","High",""
"Ardent-Class Fast Frigate","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"Vindicator-Class Heavy Cruiser","capitalShip","starship","large","Vehicle","High",""
"Storm IV Twin-Pod Cloud Car","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"Belbullab Heavy Starfighter","starfighter","starship","gargantuan","Starfighter","High",""
"YE-4 Gunship","REVIEW_REQUIRED","?","gargantuan","Gunship","Low","Manual review"
"Viper Swoop Bike","speeder","planetary","large","Vehicle","High",""
"Lancet Aerial Artillery","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"Dianoga-Class Assault Starfighter","starfighter","starship","huge","Starfighter","High",""
"Urban Bombardier Speeder Bike","speeder","planetary","large","Speeder","High",""
"Imperial II-Class Star Destroyer","capitalShip","starship","large","Vehicle","High",""
"Hapan Battle Dragon","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"GR-75 Medium Transport","transport","starship","colossal (frigate)","Transport","High",""
"Nssis-Class Clawcraft","REVIEW_REQUIRED","?","huge","Vehicle","Low","Manual review"
"The Azure Angel","REVIEW_REQUIRED","?","huge","Vehicle","Low","Manual review"
"Corellian S-250 Chela-Class Starfighter","starfighter","starship","gargantuan","Starfighter","High",""
"Dagger-Class Starfighter","starfighter","starship","huge","Starfighter","High",""
"Belbullab Heavy Starfighter","starfighter","starship","gargantuan","Starfighter","High",""
"BC-714 Luxury Transport","transport","starship","gargantuan","Transport","High",""
"Carrack-Class Light Cruiser","capitalShip","starship","large","Vehicle","High",""
"Kazellis-Class Light Freighter","transport","starship","gargantuan","Vehicle","High",""
"Wind Skiff","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"MC-24a Light Shuttle","transport","starship","gargantuan","Vehicle","High",""
"Kybuck Speeder Bike","speeder","planetary","huge","Speeder","High",""
"Nantex-Class Territorial Starfighter","starfighter","starship","gargantuan","Starfighter","High",""
"Seltiss-2 Caravel","REVIEW_REQUIRED","?","colossal","Vehicle","Low","Manual review"
"GS-100 Salvage Ship","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"Neutralizer-Class Bomber","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"TIE Fighter","starfighter","starship","huge","Vehicle","High",""
"ShaShore-Class Frigate","REVIEW_REQUIRED","?","colossal (frigate)","Vehicle","Low","Manual review"
"TIE Advanced","REVIEW_REQUIRED","?","huge","Vehicle","Low","Manual review"
"IF-120 Landing Craft","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"Corellian KR-TB ""Doomtreader""","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"Ginivex-Class Starfighter","starfighter","starship","huge","Starfighter","High",""
"""Vulture"" Droid Starfighter","starfighter","starship","huge","Starfighter","High",""
"AT-RCT","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"The Scarlet Star","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"Lancer-Class Frigate","REVIEW_REQUIRED","?","colossal (frigate)","Vehicle","Low","Manual review"
"Belbullab Heavy Starfighter","starfighter","starship","gargantuan","Starfighter","High",""
"Gozanti Cruiser","capitalShip","starship","gargantuan","Vehicle","High",""
"Neutron Star-Class Bulk Cruiser","capitalShip","starship","large","Vehicle","High",""
"AT-AT","walker","planetary","colossal","Vehicle","High",""
"Corellian Action VI Bulk Transport","transport","starship","large","Transport","High",""
"Arrow-23 Landspeeder","speeder","planetary","gargantuan","Speeder","High",""
"G-Type Light Shuttle","transport","starship","gargantuan","Vehicle","High",""
"Cardan I-Class Space Station","spaceStation","starship","colossal (frigate)","Vehicle","High",""
"Modified Lambda-Class Shuttle","transport","starship","large","Vehicle","High",""
"MC80a Star Cruiser","capitalShip","starship","large","Vehicle","High",""
"A-Wing Starfighter","starfighter","starship","huge","Starfighter","High",""
"Pellaeon-Class Star Destroyer","capitalShip","starship","large","Vehicle","High",""
"Gamma-Class Assault Shuttle","transport","starship","colossal","Vehicle","High",""
"R-28 Starfighter","starfighter","starship","gargantuan","Starfighter","High",""
"Cardan II-Class Space Station","spaceStation","starship","large","Vehicle","High",""
"MC140 Scythe-Class Battlecruiser","capitalShip","starship","large","Vehicle","High",""
"Pelta-Class Frigate","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"Modified T-47 Airspeeder","speeder","planetary","huge","Speeder","High",""
"Delta-7 Aethersprite High-Maneuver Interceptor","starfighter","starship","large","Vehicle","High",""
"Miy'til Assault Bomber","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"Acclamator I-Class Assault Ship","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"Z-95 Headhunter","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"Y-Wing Starfighter","starfighter","starship","gargantuan","Starfighter","High",""
"Vaya-Class Scout Ship","REVIEW_REQUIRED","?","huge","Vehicle","Low","Manual review"
"AT-XT","REVIEW_REQUIRED","?","huge","Vehicle","Low","Manual review"
"DC0052 ""Intergalactic"" Speeder","speeder","planetary","large","Speeder","High",""
"74-Z Speeder Bike","speeder","planetary","large","Speeder","High",""
"Guardian-Class Light Cruiser","capitalShip","starship","colossal","Vehicle","High",""
"Corellian YZ-775 Medium Transport","transport","starship","colossal (frigate)","Transport","High",""
"ARC-170 Starfighter","starfighter","starship","gargantuan","Starfighter","High",""
"Kappa-Class Shuttle","transport","starship","gargantuan","Vehicle","High",""
"V-Wing Starfighter","starfighter","starship","huge","Starfighter","High",""
"Executor-Class Star Dreadnought","capitalShip","starship","large","Vehicle","High",""
"T-65BR X-Wing Starfighter","starfighter","starship","gargantuan","Starfighter","High",""
"Tibanna Gas Hauler","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"Victory I-Class Star Destroyer","capitalShip","starship","large","Vehicle","High",""
"P-38 Starfighter","starfighter","starship","huge","Starfighter","High",""
"SPHA-V","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"Phoebos-Class Starfighter","starfighter","starship","huge","Starfighter","High",""
"Corellian JumpMaster 5000 Scout Ship","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"Corona Luxury Groundspeeder","speeder","planetary","huge","Speeder","High",""
"Sheathipede-Class Shuttle","transport","starship","gargantuan","Vehicle","High",""
"Zebra Starfighter","starfighter","starship","gargantuan","Starfighter","High",""
"Derriphan-Class Battleship","capitalShip","starship","colossal (frigate)","Vehicle","High",""
"Hyena-Class Bomber","REVIEW_REQUIRED","?","huge","Vehicle","Low","Manual review"
"FC-20 Speeder Bike","speeder","planetary","large","Speeder","High",""
"The Indomitable","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"Dynamic-Class Freighter","transport","starship","gargantuan","Vehicle","High",""
"Besh-Type Personal Starfighter","starfighter","starship","large","Starfighter","High",""
"Corellian HWK-290 Light Freighter","transport","starship","gargantuan","Vehicle","High",""
"UR-40M Patrol Speeder","speeder","planetary","huge","Speeder","High",""
"Nebula-Class Star Destroyer","capitalShip","starship","large","Vehicle","High",""
"Penumbra-Class Attack Shuttle","transport","starship","gargantuan","Vehicle","High",""
"AT-ST","walker","planetary","gargantuan","Vehicle","High",""
"Eclipse-Class Star Dreadnought","capitalShip","starship","large","Vehicle","High",""
"Corellian YX-1980 Transport","transport","starship","gargantuan","Transport","High",""
"CF9 Crossfire Starfighter","starfighter","starship","gargantuan","Starfighter","High",""
"Twin-228 Airspeeder","speeder","planetary","huge","Speeder","High",""
"Immobilizer 418 Interdictor-Class Heavy Cruiser","capitalShip","starship","large","Vehicle","High",""
"BB-2 Starfire Fighter/Bomber","starfighter","starship","large","Vehicle","High",""
"Predator-Class Starfighter","starfighter","starship","gargantuan","Starfighter","High",""
"Corellian Nemesis-Class Patrol Ship","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"Marauder-Class Rebel Cruiser","capitalShip","starship","large","Vehicle","High",""
"Spinward-Class Tender","REVIEW_REQUIRED","?","colossal (frigate)","Vehicle","Low","Manual review"
"AAT-1","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"Marauder-Class Corvette","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"Junker Class 720 Freighter","transport","starship","large","Vehicle","High",""
"Y-Wing ""Courier"" Variant","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"Broadside-Class Cruiser","capitalShip","starship","large","Vehicle","High",""
"GPE-3300 Airspeeder","speeder","planetary","huge","Speeder","High",""
"Tibanna Refinery Platform","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"C-9979 Landing Craft","REVIEW_REQUIRED","?","colossal (frigate)","Vehicle","Low","Manual review"
"Bantha-II Cargo Skiff","transport","starship","huge","Vehicle","High",""
"SPHA","REVIEW_REQUIRED","?","colossal","Vehicle","Low","Manual review"
"Acclamator II-Class Assault Ship","REVIEW_REQUIRED","?","colossal (frigate)","Vehicle","Low","Manual review"
"Mankvim-814 Light Interceptor","starfighter","starship","huge","Vehicle","High",""
"IPV-1 System Patrol Craft","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"Coralskipper","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"Sabaoth Destroyer","REVIEW_REQUIRED","?","colossal (frigate)","Vehicle","Low","Manual review"
"Nu-Class Attack Shuttle","transport","starship","gargantuan","Vehicle","High",""
"SPHA-C","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"Slave I","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"Diamond-Class Cruiser","capitalShip","starship","colossal (frigate)","Vehicle","High",""
"KAAC Freerunner","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"SkyBlind Landing Sphere","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"Drop Pod","REVIEW_REQUIRED","?","huge","Vehicle","Low","Manual review"
"The Wheel","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"G-Type Escape Shuttle","transport","starship","large","Vehicle","High",""
"Raddaugh Gnasp Fluttercraft","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"Corellian MT Dropship","REVIEW_REQUIRED","?","colossal","Vehicle","Low","Manual review"
"The Invisible Hand","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"Fury-Class Starfighter","starfighter","starship","gargantuan","Starfighter","High",""
"X-34 Speeder Escort","speeder","planetary","large","Speeder","High",""
"Lucrehulk-Class Core Ship","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"Corellian S-100 Stinger-Class Starfighter","starfighter","starship","huge","Starfighter","High",""
"Shaadlar-Type Troopship","REVIEW_REQUIRED","?","colossal (frigate)","Vehicle","Low","Manual review"
"PAC","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"Corellian YT-2400 Transport","transport","starship","gargantuan","Transport","High",""
"R-42 Starchaser","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"Escape Pod","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"Outbound Flight","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"Rebel Assault Frigate Mark II","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"Foray-Class Blockade Runner","REVIEW_REQUIRED","?","colossal (frigate)","Vehicle","Low","Manual review"
"RTT","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"LAAT/c Gunship","REVIEW_REQUIRED","?","gargantuan","Gunship","Low","Manual review"
"Shackles of Nizon","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"CIS-Advanced Starfighter","starfighter","starship","huge","Starfighter","High",""
"K-Wing Assault Starfighter","starfighter","starship","gargantuan","Starfighter","High",""
"The Mynock","REVIEW_REQUIRED","?","colossal","Vehicle","Low","Manual review"
"Basilisk War Droid","REVIEW_REQUIRED","?","huge","Vehicle","Low","Manual review"
"B-Wing/E2 Starfighter","starfighter","starship","gargantuan","Starfighter","High",""
"Urban Navigator Speeder Bike","speeder","planetary","large","Speeder","High",""
"MRX-BR Pacifier","REVIEW_REQUIRED","?","huge","Vehicle","Low","Manual review"
"AT-AHT","REVIEW_REQUIRED","?","colossal","Vehicle","Low","Manual review"
"Octuptarra Magna Tri-Droid","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"HSP-10 Pursuit Airspeeder","speeder","planetary","huge","Speeder","High",""
"B-Wing Starfighter","starfighter","starship","huge","Starfighter","High",""
"AT-CT","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"Modified Tsmeu-6 Personal Wheel Bike","speeder","planetary","large","Vehicle","High",""
"V-19 Torrent Starfighter","starfighter","starship","gargantuan","Starfighter","High",""
"TIE Interceptor","starfighter","starship","huge","Vehicle","High",""
"Eta-2 Actis Interceptor","starfighter","starship","huge","Vehicle","High",""
"A519 Invader Close Support Starfighter","starfighter","starship","huge","Starfighter","High",""
"Teroch-Type Gunship","REVIEW_REQUIRED","?","gargantuan","Gunship","Low","Manual review"
"CS-1 Cargo Sled","transport","starship","huge","Vehicle","High",""
